GORNA,1,1,47@0
FBIS3-29,1,false,false
successes,3,3,47@2
FBIS3-42,1,false,false
FBIS3-27,1,false,false
FBIS3-35,1,false,false
misappropriation,1,2,47@6
FBIS3-27,2,false,false
publicity,2,2,47@8
FBIS3-29,1,false,false
FBIS3-5,1,false,false
12.40,1,1,47@11
FBIS3-35,1,false,false
discover,1,1,47@13
FBIS3-48,1,false,false
development,10,83,47@15
FBIS3-29,30,false,false
FBIS3-8,3,false,false
FBIS3-11,3,false,false
FBIS3-26,4,false,false
FBIS3-31,1,false,false
FBIS3-27,1,false,false
FBIS3-2,1,false,false
FBIS3-28,2,false,false
FBIS3-35,18,false,false
FBIS3-23,20,false,false
imply,1,1,47@26
FBIS3-49,1,false,false
vet,2,2,47@28
FBIS3-27,1,false,false
FBIS3-29,1,false,false
bottom,1,1,47@31
FBIS3-23,1,false,false
1.766K,1,1,47@33
FBIS3-29,1,false,false
purposes,5,7,47@35
FBIS3-8,1,false,false
FBIS3-30,1,false,false
FBIS3-19,1,false,false
FBIS3-32,1,false,false
FBIS3-29,3,false,false
safe,3,3,47@41
FBIS3-23,1,false,false
FBIS3-29,1,false,false
FBIS3-38,1,false,false
PAPAZOV,1,1,47@45
FBIS3-29,1,false,false
potentially,2,3,47@47
FBIS3-33,1,false,false
FBIS3-6,2,false,false
contacted,2,2,47@50
FBIS3-8,1,false,false
FBIS3-5,1,false,false
01-16,2,4,47@53
FBIS3-48,2,false,false
FBIS3-4,2,false,false
1.612K,1,1,47@56
FBIS3-29,1,false,false
contributor,1,1,47@58
FBIS3-35,1,false,false
SOLTON,1,3,47@60
FBIS3-42,3,false,false
121%,1,1,47@62
FBIS3-29,1,false,false
repay,1,2,47@64
FBIS3-29,2,false,false
FRANKFURTER RUNDSCHAU,2,2,47@66
FBIS3-44,1,false,true
FBIS3-28,1,false,true
BARUM-CONTINENTAL,1,2,47@69
FBIS3-29,2,false,false
revenues,5,7,47@71
FBIS3-26,1,false,false
FBIS3-29,1,false,false
FBIS3-35,1,false,false
FBIS3-23,3,false,false
FBIS3-6,1,false,false
jimmyaku,1,1,47@77
FBIS3-23,1,false,false
stolen,1,1,47@79
FBIS3-4,1,false,false
al-ahd,1,2,47@81
FBIS3-45,2,false,false
optimal,1,1,47@83
FBIS3-35,1,false,false
numerous,4,7,47@85
FBIS3-29,4,false,false
FBIS3-38,1,false,false
FBIS3-23,1,false,false
FBIS3-39,1,false,false
leading,10,21,47@90
FBIS3-26,1,false,false
FBIS3-27,4,false,false
FBIS3-34,2,false,false
FBIS3-20,1,false,false
FBIS3-23,5,false,false
FBIS3-29,4,false,false
FBIS3-40,1,false,false
FBIS3-41,1,false,false
FBIS3-24,1,false,false
FBIS3-44,1,false,false
motels,1,1,47@101
FBIS3-29,1,false,false
ARAB,4,17,47@103
FBIS3-48,1,false,false
FBIS3-39,5,false,false
FBIS3-7,5,false,false
FBIS3-45,6,false,false
HUNGARIAN-ITALIAN,1,1,47@108
FBIS3-29,1,false,false
collusion,3,3,47@110
FBIS3-49,1,false,false
FBIS3-34,1,false,false
FBIS3-23,1,false,false
graduation,1,1,47@114
FBIS3-18,1,false,false
6.375K,2,2,47@116
FBIS3-27,1,false,false
FBIS3-18,1,false,false
customs,4,7,47@119
FBIS3-46,1,false,false
FBIS3-23,3,false,false
FBIS3-4,1,false,false
FBIS3-29,2,false,false
agreement,25,131,47@124
FBIS3-46,1,false,false
FBIS3-31,1,false,false
FBIS3-26,16,false,false
FBIS3-27,1,false,false
FBIS3-13,6,false,false
FBIS3-47,1,false,false
FBIS3-48,1,false,false
FBIS3-49,2,false,false
FBIS3-33,1,false,false
FBIS3-34,1,false,false
FBIS3-28,1,false,false
FBIS3-35,4,false,false
FBIS3-16,4,false,false
FBIS3-20,1,false,false
FBIS3-3,3,false,false
FBIS3-36,5,false,false
FBIS3-37,1,false,false
FBIS3-38,2,false,false
FBIS3-23,12,false,false
FBIS3-39,1,false,false
FBIS3-29,40,false,false
FBIS3-41,3,false,false
FBIS3-7,3,false,false
FBIS3-8,1,false,false
FBIS3-43,19,false,false
inviting,1,1,47@150
FBIS3-36,1,false,false
devise,1,1,47@152
FBIS3-35,1,false,false
persons,3,11,47@154
FBIS3-26,2,false,false
FBIS3-18,1,false,false
FBIS3-29,8,false,false
protracted,1,1,47@158
FBIS3-46,1,false,false
unused,1,2,47@160
FBIS3-29,2,false,false
westernization,1,1,47@162
FBIS3-6,1,false,false
uncertainty,1,2,47@164
FBIS3-26,2,false,false
PRECISION,1,1,47@166
FBIS3-35,1,false,false
greenhouses,1,1,47@168
FBIS3-29,1,false,false
Z44,1,1,47@170
FBIS3-29,1,false,false
FOREIGN MEDIA SURVEY,2,6,47@172
FBIS3-26,3,false,true
FBIS3-29,3,false,true
FAHD-HUSAYN,1,3,47@175
FBIS3-45,3,false,false
CREDITANSTALT,1,1,47@177
FBIS3-29,1,false,false
U.S. SECURITIES,2,2,47@179
FBIS3-23,1,false,true
FBIS3-29,1,false,true
beliefs,1,4,47@182
FBIS3-19,4,false,false
massacres,1,1,47@184
FBIS3-7,1,false,false
entering,1,1,47@186
FBIS3-23,1,false,false
CU,1,1,47@188
FBIS3-35,1,false,false
SRNA,1,1,47@190
FBIS3-2,1,false,false
regain,1,1,47@192
FBIS3-48,1,false,false
brandy,1,1,47@194
FBIS3-29,1,false,false
TOKYO,7,14,47@196
FBIS3-9,1,false,false
FBIS3-49,1,false,false
FBIS3-35,1,false,false
FBIS3-29,1,false,false
FBIS3-23,4,false,false
FBIS3-40,1,false,false
FBIS3-43,5,false,false
annoyance,1,1,47@204
FBIS3-42,1,false,false
agreeing,3,3,47@206
FBIS3-13,1,false,false
FBIS3-38,1,false,false
FBIS3-42,1,false,false
4.8 M Dollars,1,1,47@210
FBIS3-23,1,false,false
1.9596,1,1,47@212
FBIS3-35,1,false,false
1.42M,1,1,47@214
FBIS3-23,1,false,false
owes,1,2,47@216
FBIS3-29,2,false,false
jail,2,2,47@218
FBIS3-32,1,false,false
FBIS3-24,1,false,false
consent,2,2,47@221
FBIS3-9,1,false,false
FBIS3-3,1,false,false
article,17,101,47@224
FBIS3-46,4,false,false
FBIS3-26,27,false,false
FBIS3-27,5,false,false
FBIS3-14,6,false,false
FBIS3-15,2,false,false
FBIS3-48,2,false,false
FBIS3-49,2,false,false
FBIS3-34,4,false,false
FBIS3-19,1,false,false
FBIS3-4,2,false,false
FBIS3-35,1,false,false
FBIS3-38,4,false,false
FBIS3-29,7,false,false
FBIS3-42,12,false,false
FBIS3-23,8,false,false
FBIS3-5,12,false,false
FBIS3-45,2,false,false
nation-sellers,1,1,47@242
FBIS3-49,1,false,false
indignant,1,1,47@244
FBIS3-5,1,false,false
BRAZILIAN,1,2,47@246
FBIS3-35,2,false,false
mismanagement,1,1,47@248
FBIS3-23,1,false,false
TLMACE,1,2,47@250
